DAIHATSU,CHARADE,"G11, V, G30, V(Incl. Van,Excl.TX, TS,CX,Turbo)",83/01~86/12,"R A1052","R B1052",48510-87715,1165,E1165,"48530-87710 48530-87712 48530-87713"
DAIHATSU,"DELTA WIDE","TB11G(Wagon),TB15G(Wagon)",76/10~81/01,2470,,48500-29185,2048,E2048,48531-29335
NISSAN,"SUNNY TRAVELLER / AD WAGON / VAN / WINGROAD","Y11 2WD ABS Type only",99/05~04/04,L,"L B2248","54303-WD285 54303-WD287",,,"56210-WD225 56210-WD226 56210-WD227"
MAZDA,"EUNOS 500 / XEDOS6","CAEP,CAPP,CA8P(1.8/2.4 4D SED)",92/06~99,"L A3099","L B3150","CA35-34-900A CA35-34-900B",L,L,"C001-28-700E CA35-28-700B"
DAIHATSU,HIJET,"S60(Truck with Flat Low Deck)",78/02~79/09,2510,,"48510-87503 48510-87504",2507,,48530-87503
TOYOTA,"KIJANG INNOVA",,04~,R,"R U3773",48510-0K080,,E3796,48531-0K210
TOYOTA,"KIJANG INNOVA",,04~,L,"L U3774",48520-0K080,,,48531-0K210
DAIHATSU,APPLAUSE,A101,89/06~97/09,"R A1070","R B1070","48510-87106 48510-87114 48510-87118 48510-87111 48510-87117",,,
DAIHATSU,APPLAUSE,A101,89/06~97/09,"L A1071","L B1071","48520-87101 48520-87105      48520-87102 48520-87106",,,
DAIHATSU,APPLAUSE,A101,89/06~97/09,"R A1070","R B1070","48510-87104 48510-87108     48510-87105 48510-87109",,,
DAIHATSU,APPLAUSE,A101,89/06~97/09,"L A1071","L B1071","48520-87103 48520-87111 48520-87115 48520-87108 48520-87114",,,
