"ALFA ROMEO","145 (930)","1.4 i.e.",07/1994,12/1996,344115,Excel-G,"Rear Axle",Twin-Tube,,,
"ALFA ROMEO","145 (930)","1.4 i.e.",07/1994,12/1996,554077,"Gas A Just","Rear Axle",Monotube,,,
"ALFA ROMEO","145 (930)","1.4 i.e. 16V T.S.",12/1996,01/2001,334930,Excel-G,"Front Axle",Twin-Tube,,"Suspension Strut",
MERCEDES-BENZ,"E-CLASS (W211)","E 420 CDI (211.029)",01/2006,12/2008,551926,"Gas A Just","Front Axle",Monotube,,,
MERCEDES-BENZ,"E-CLASS (W211)","E 420 CDI (211.029)",01/2006,12/2008,SM5501,"Suspension Mounting Kit","Front Axle",,,,
MERCEDES-BENZ,"E-CLASS (W211)","E 420 CDI (211.029)",01/2006,12/2008,553356,"Gas A Just","Rear Axle",Monotube,,,
MERCEDES-BENZ,"E-CLASS (W211)","E 500 (211.070)",03/2002,12/2008,551926,"Gas A Just","Front Axle",Monotube,,,
VOLVO,"S40 I (VS)",1.6,03/1999,12/2003,334438,Excel-G,"Front Axle Right",Twin-Tube,,"Suspension Strut",
VOLVO,"S40 I (VS)",1.6,03/1999,12/2003,334439,Excel-G,"Front Axle Left",Twin-Tube,,"Suspension Strut",
VOLVO,"S40 I (VS)",1.6,03/1999,12/2003,917300,"Protection Kit","Front Axle",,,,04.2000
VOLVO,"S40 I (VS)",1.6,03/1999,12/2003,341145,Excel-G,"Rear Axle",Twin-Tube,,,
VOLVO,"S40 I (VS)",1.6,03/1999,12/2003,341204,Excel-G,"Rear Axle",Twin-Tube,,,06.1999
